id,trigger,conditions,script,text,options,notes
# Adversary fleet greeting lines,,,,,,
greetingAdversaryFriendlySpacer,OpenCommLink,"$faction.id == adversary
$faction.friendlyToPlayer
$voice == spacer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Good to see an ally here. Quite a rarity these days, if I'm honest, but I hope to see more of them in the future. Burn bright, $playerName.""",,
greetingAdversaryFriendlySoldier,OpenCommLink,"$faction.id == adversary
$faction.friendlyToPlayer
$voice == soldier","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging receipt of AIS code. Good to see you, $playerName. Burn bright, and may we all unite in peace and prosperity.""
OR
""Identity acknowledged. We welcome your assistance in our great Project. May we all unite in peace and prosperity.""
",,
greetingAdversaryFriendlyVillian,OpenCommLink,"$faction.id == adversary
$faction.friendlyToPlayer
$voice == villain","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Comms received, status friendly. If you see any unauthorized outsiders around here, do you mind taking them down for us? Wouldn't want anything to distract us from our venerable obligations, don't you think?""",,
greetingAdversaryHostileWeakerSpacer,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$voice == spacer",$entity.ignorePlayerCommRequests = true 1,"""I did not wish for this to happen, but if it must happen, then let it happen quickly and painlessly.""",cutCommLink:Cut the comm link,
greetingAdversaryHostileWeakerSoldier,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$voice == soldier",$entity.ignorePlayerCommRequests = true 1,"""Hostile $shipOrFleet, you may prey on the weak. But you shall soon find yourself the prey of even greater predators.""",cutCommLink:Cut the comm link,
greetingAdversaryHostileWeakerVillian,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$voice == villian",$entity.ignorePlayerCommRequests = true 1,"""We are but a cog in the grand machinery of the Project. You may take down one cog, but you cannot dismantle the entire machine. The Project shall live on, with or without us.""",cutCommLink:Cut the comm link,
greetingAdversaryHostileWeakerDefiantSpacer,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$voice == spacer",$entity.ignorePlayerCommRequests = true 1,"""I did not wish for this to happen, but we shall fight to the last regardless. May Ludd forgive us all.""",cutCommLink:Cut the comm link,
greetingAdversaryHostileWeakerDefiantSoldier,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$voice == soldier",$entity.ignorePlayerCommRequests = true 1,"The Adversary $personRank glances at something above their screen, and then stares at you, ""You know not what your actions will bring forth. Soon, you will suffer the wrath of the Adversary.""",cutCommLink:Cut the comm link,
greetingAdversaryHostileWeakerDefiantVillian,OpenCommLink,"$faction.id == adversary
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$voice == villian",$entity.ignorePlayerCommRequests = true 1,"The enemy $personRank looks grim but defiant. ""You will not take away our hope and our legacy, you vermin! May your crimes be your undoing!""",cutCommLink:Cut the comm link,
